Wavenumber	Intensity
100.634	626.058
101.434	629.273
102.236	633.957
103.037	653.294
103.837	671.245
104.637	663.946
105.439	685.329
106.239	687.376
107.039	710.425
107.839	714.951
108.64	702.141
109.44	736.684
110.24	731.018
111.04	723.604
111.839	726.088
112.641	737.304
113.44	742.592
114.24	739.415
115.039	723.573
115.839	746.204
116.638	725.312
117.439	728.559
118.238	726.463
119.037	729.322
119.836	726.462
120.635	720.355
121.434	727.431
122.233	726.05
123.032	703.027
123.831	718.687
124.63	708.561
125.429	720.138
126.227	720.282
127.026	711.867
127.824	710.188
128.623	718.742
129.421	712.272
130.22	723.446
131.018	718.896
131.816	717.755
132.615	720.465
133.413	721.978
134.211	717.137
135.009	718.466
135.807	712.204
136.603	717.099
137.401	725.911
138.199	729.899
138.997	728.531
139.794	727.321
140.592	728.952
141.388	728.967
142.186	739.303
142.983	733.641
143.781	713.935
144.578	723.934
145.374	731.24
146.171	731.274
146.968	725.704
147.765	716.177
148.561	715.024
149.358	712.239
150.155	724.696
150.952	729.926
151.747	729.996
152.544	725.31
153.341	731.153
154.136	724.23
154.932	748.035
155.729	738.873
156.524	736.522
157.32	745.515
158.115	753.187
158.912	758.041
159.708	757.885
160.503	765.18
161.299	757.822
162.093	768.782
162.889	773.439
163.684	775.062
164.48	792.355
165.274	776.267
166.07	782.982
166.866	786.984
167.66	787.455
168.454	791.175
169.25	773.771
170.044	779.474
170.839	784.308
171.633	785.287
172.429	774.769
173.223	774.263
174.018	768.506
174.811	776.915
175.605	771.675
176.4	769.923
177.194	768.937
177.987	775.505
178.782	765.036
179.576	782.108
180.37	783.666
181.164	772.156
181.957	781.263
182.75	782.889
183.544	795.171
184.337	791.088
185.13	797.148
185.925	799.876
186.718	815.369
187.511	828.249
188.303	817.393
189.097	821.328
189.89	824.418
190.683	827.787
191.475	818.758
192.268	827.666
193.06	820.497
193.854	832.686
194.646	844.837
195.438	836.454
196.231	833.854
197.023	840.915
197.815	830.967
198.607	826.186
199.399	839.124
200.192	833.984
200.984	830.42
201.776	852.193
202.568	847.279
203.359	847.856
204.151	856.328
204.942	856.572
205.734	860.011
206.525	864.584
207.317	864.245
208.108	862.911
208.899	858.722
209.691	865.102
210.482	863.242
211.273	853.184
212.064	870.359
212.855	862.506
213.644	858.527
214.435	846.572
215.226	843.68
216.017	847.909
216.808	848.127
217.598	826.751
218.389	838.522
219.179	833.324
219.968	843.522
220.759	858.25
221.549	858.429
222.339	842.849
223.13	849.014
223.918	826.716
224.709	818.701
225.499	830.191
226.289	831.459
227.077	832.919
227.867	824.967
228.657	823.008
229.447	816.658
230.235	822.534
231.025	824.413
231.814	814.882
232.603	820.844
233.392	821.577
234.182	806.118
234.97	808.174
235.759	806.306
236.547	817.685
237.336	833.215
238.125	819.749
238.913	822.097
239.702	813.064
240.489	810.811
241.278	822.216
242.066	825.174
242.855	828.367
243.644	831.909
244.431	840.787
245.22	847.379
246.007	839.055
246.795	850.966
247.582	852.801
248.369	858.455
249.158	870.893
249.945	869.07
250.733	858.904
251.52	871.657
252.308	889.61
253.095	880.448
253.881	879.102
254.669	884.273
255.456	894.454
256.244	895.021
257.03	914.626
257.816	922.402
258.604	922.705
259.39	926.889
260.176	944.422
260.964	935.988
261.75	922.683
262.536	919.718
263.322	935.907
264.109	956.774
264.895	949.997
265.681	947.735
266.467	967.635
267.254	981.682
268.039	976.343
268.825	970.904
269.61	976.842
270.396	985.569
271.183	972.765
271.968	975.974
272.753	982.804
273.538	989.165
274.324	998.625
275.109	996.6
275.894	998.24
276.679	994.386
277.465	992.058
278.25	1002.98
279.035	1018.59
279.82	1017.31
280.604	1017.19
281.389	1024.62
282.173	1025.42
282.958	1057.55
283.742	1036.75
284.527	1059.34
285.311	1068.27
286.096	1065.65
286.88	1040.99
287.664	1070
288.448	1078.09
289.232	1081.99
290.016	1084.63
290.799	1098.28
291.583	1089
292.367	1103.18
293.15	1122.21
293.934	1124.75
294.718	1132.46
295.502	1140.35
296.285	1154.29
297.067	1147.68
297.851	1145.21
298.634	1163.98
299.418	1177.66
300.201	1184.2
300.983	1190.44
301.766	1190.95
302.247	1182
303.034	1195.72
303.818	1204.02
304.603	1212.57
305.387	1230.85
306.172	1223.73
306.956	1241.24
307.74	1256.29
308.525	1261.3
309.309	1255.25
310.093	1261.34
310.879	1261.7
311.663	1274.64
312.447	1286.08
313.231	1307.77
314.014	1301.05
314.798	1284.37
315.582	1303.46
316.366	1330.79
317.149	1324.83
317.933	1333.61
318.717	1343.53
319.499	1331.14
320.282	1356.19
321.065	1346.48
321.849	1357.91
322.632	1370.87
323.415	1368.66
324.198	1373.83
324.981	1361.67
325.765	1395.96
326.546	1378.9
327.329	1388.48
328.112	1388.78
328.895	1387.02
329.677	1380.83
330.46	1390.04
331.241	1371.56
332.024	1386.16
332.807	1365.13
333.589	1366.24
334.37	1367.03
335.152	1371.73
335.935	1354.93
336.717	1345.19
337.498	1347.19
338.28	1320.33
339.062	1329.92
339.843	1310.94
340.625	1310.51
341.407	1298.73
342.187	1296.95
342.969	1271.22
343.751	1254.48
344.531	1242.34
345.313	1222.8
346.094	1234.02
346.874	1233.17
347.656	1211.31
348.436	1200.84
349.217	1197.66
349.997	1167.02
350.778	1166.48
