salt,m (mol/kg),gamma_pm,a_w,sigma (N/m),kH_eff/kH0,V_d (m^3),D_d (m),y_H2,r_crit (m)
H2SO4,2.928,0.1181,0.73324,0.08002,0.513,3.113e-09,0.001812,0.9778,5.449e-07
H2SO4,3.082,0.1378,0.70917,0.08040,0.4953,3.135e-09,0.001816,0.9785,5.224e-07
H2SO4,3.235,0.1602,0.68546,0.08077,0.4783,3.157e-09,0.00182,0.9792,5.011e-07
H2SO4,3.389,0.1854,0.66219,0.08114,0.4618,3.178e-09,0.001824,0.9799,4.809e-07
H2SO4,3.543,0.2138,0.63943,0.08150,0.4459,3.2e-09,0.001828,0.9806,4.616e-07
H2SO4,3.696,0.2455,0.61724,0.08186,0.4306,3.221e-09,0.001832,0.9813,4.434e-07
H2SO4,3.85,0.2806,0.59566,0.08222,0.4158,3.242e-09,0.001836,0.982,4.26e-07
H2SO4,4.003,0.3194,0.57472,0.08258,0.4015,3.263e-09,0.00184,0.9826,4.094e-07
H2SO4,4.157,0.362,0.55445,0.08293,0.3877,3.284e-09,0.001844,0.9832,3.936e-07
H2SO4,4.311,0.4086,0.53485,0.08328,0.3743,3.305e-09,0.001848,0.9838,3.785e-07
H2SO4,4.464,0.4593,0.51593,0.08362,0.3615,3.325e-09,0.001852,0.9844,3.641e-07
H2SO4,4.618,0.5142,0.49768,0.08396,0.349,3.346e-09,0.001856,0.9849,3.504e-07
H2SO4,4.771,0.5733,0.48011,0.08430,0.337,3.366e-09,0.001859,0.9855,3.372e-07
H2SO4,4.925,0.6369,0.46320,0.08463,0.3254,3.386e-09,0.001863,0.986,3.246e-07
H2SO4,5.078,0.7049,0.44694,0.08496,0.3142,3.406e-09,0.001867,0.9865,3.126e-07
H2SO4,5.232,0.7775,0.43132,0.08529,0.3034,3.426e-09,0.00187,0.9869,3.011e-07
H2SO4,5.386,0.8545,0.41632,0.08562,0.293,3.445e-09,0.001874,0.9874,2.9e-07
H2SO4,5.539,0.936,0.40191,0.08594,0.2829,3.464e-09,0.001877,0.9878,2.795e-07
H2SO4,5.693,1.022,0.38809,0.08625,0.2732,3.484e-09,0.001881,0.9883,2.693e-07
H2SO4,5.846,1.113,0.37484,0.08657,0.2638,3.503e-09,0.001884,0.9887,2.596e-07
H2SO4,6,1.208,0.36212,0.08688,0.2547,3.522e-09,0.001888,0.9891,2.502e-07
