Wavenumber	Intensity
97.6598	782.5
98.4666	838.5
99.2734	879.5
100.08	920
100.887	985.5
101.693	1055.5
102.5	1168.5
103.306	1272
104.113	1448.5
104.919	1666.5
105.726	1976
106.532	2344.5
107.338	2836
108.144	3578.5
108.95	4507
109.756	5494.5
110.561	6574.5
111.367	7421.5
112.173	7499.5
112.978	6915.5
113.784	5948
114.59	4741
115.396	3667.5
116.2	2831
117.005	2243.5
117.811	1807.5
118.616	1539
119.421	1308.5
120.225	1153
121.03	1042.5
121.835	990.5
122.641	914
123.446	847.5
124.249	804
125.054	781
125.859	751.5
126.662	720
127.467	729.5
128.272	732
129.076	734
129.879	750
130.684	748.5
131.488	787.5
132.291	847.5
133.096	909
133.898	981.5
134.703	1108.5
135.507	1238.5
136.309	1450
137.114	1635.5
137.916	1841.5
138.72	1977.5
139.524	1984
140.326	1892.5
141.13	1681
141.932	1457.5
142.736	1269
143.538	1079.5
144.342	923
145.143	853.5
145.947	756.5
146.749	702
147.552	648
148.354	623.5
149.157	590
149.959	591.5
150.762	562.5
151.563	546
152.366	549
153.168	538.5
153.969	529.5
154.772	532
155.573	546.5
156.376	528.5
157.177	529
157.978	520
158.78	520
159.581	523.5
160.382	513.5
161.185	525.5
161.985	536
162.786	528
163.588	532.5
164.389	540.5
165.189	538
165.991	538
166.792	547.5
167.592	545.5
168.393	543.5
169.194	562
169.995	570
170.795	574.5
171.595	582.5
172.395	572
173.196	591
173.996	589.5
174.796	610
175.596	620.5
176.396	632
177.195	641
177.996	651
178.796	686.5
179.596	687
180.395	729
181.194	739
181.994	782
182.793	806.5
183.592	806.5
184.391	836.5
185.192	842
185.991	863.5
186.79	876
187.589	884.5
188.388	900
189.187	940
189.986	947.5
190.784	1006.5
191.583	1041
192.381	1093.5
193.18	1162.5
193.979	1240.5
194.777	1316.5
195.575	1389.5
196.372	1421.5
197.17	1494
197.969	1483
198.767	1443
199.565	1378.5
200.363	1345
201.161	1287.5
201.959	1221.5
202.757	1168.5
203.553	1105.5
204.351	1053
205.148	1017
205.946	983.5
206.744	933
207.541	901.5
208.337	878.5
209.134	862.5
209.932	842.5
210.729	801.5
211.526	776.5
212.322	746.5
213.119	724.5
213.916	703.5
214.713	693.5
215.509	652.5
216.305	656
217.102	637
217.898	621.5
218.694	597.5
219.491	589.5
220.286	577
221.083	568.5
221.879	581
222.674	567.5
223.47	568.5
224.267	550
225.061	552
225.858	545.5
226.652	522.5
227.448	540
228.244	546.5
229.039	523
229.835	520.5
230.629	514
231.425	500
232.219	507.5
233.015	506.5
233.809	496
234.605	490.5
235.399	503.5
236.194	489.5
236.988	479.5
237.783	494
238.577	483
239.373	488
240.166	481.5
240.961	469
241.755	476
242.548	468.5
243.343	482
244.137	480.5
244.932	489
245.725	479
246.518	485.5
247.313	492.5
248.106	495.5
248.899	503
249.694	509
250.486	496
251.279	506.5
252.074	508
252.867	500.5
253.659	526.5
254.453	541.5
255.246	520.5
256.039	535.5
256.831	533.5
257.625	537.5
258.417	539.5
259.21	556.5
260.002	565
260.794	569.5
261.588	546.5
262.38	560
263.172	571
263.964	563.5
264.756	548
265.548	570.5
266.341	561.5
267.133	574
267.925	575.5
268.716	583.5
269.508	584
270.299	584.5
271.091	576.5
271.882	593
272.674	590.5
273.465	606.5
274.256	607.5
275.049	607.5
275.84	601
276.631	640.5
277.422	634.5
278.213	635
279.004	649
279.795	654
280.586	645.5
281.375	665.5
282.166	684.5
282.956	690
283.747	703.5
284.538	699.5
285.328	713.5
286.118	705
286.909	731
287.699	735.5
288.489	743
289.28	752.5
290.07	770
290.858	802
291.648	782
292.438	807
293.228	826
294.018	839.5
294.808	872
295.596	898.5
296.386	917
297.175	932.5
297.965	964.5
298.753	962
299.543	1001
300.332	1022
301.121	1065
301.909	1079.5
302.698	1115
303.488	1151
304.277	1187.5
305.064	1228.5
305.853	1273.5
306.642	1326.5
307.43	1388.5
308.218	1431.5
309.007	1513
309.794	1605
310.583	1675.5
311.37	1739
312.159	1838.5
312.947	1967
313.734	2074.5
314.523	2161.5
315.31	2265.5
316.098	2411
316.885	2520.5
317.673	2673.5
318.461	2737
319.247	2836.5
320.036	2869.5
320.822	2893.5
321.61	2915.5
322.396	2927.5
323.184	2899
323.97	2872.5
324.756	2826
325.544	2827.5
326.33	2701.5
327.118	2612.5
327.904	2542.5
328.691	2474
329.477	2325.5
330.263	2218
331.05	2123.5
331.836	2025.5
332.623	1925.5
333.408	1784
334.194	1675.5
334.981	1612
335.766	1516.5
336.551	1493.5
337.338	1388
338.124	1323
338.909	1273
339.694	1209.5
340.48	1160
341.265	1131.5
342.05	1093.5
342.835	1067
343.622	1018.5
344.406	981.5
345.191	962
345.976	933.5
346.762	918
347.546	904.5
348.331	876
349.115	853
349.9	829
350.684	825.5
351.47	815
352.254	790
353.038	781.5
353.823	766
354.607	764.5
355.391	744
356.175	727
356.958	721.5
357.742	703
358.526	707.5
359.31	715.5
360.095	699.5
360.879	683
361.662	690.5
362.446	693
363.229	656
364.013	676.5
364.796	680
365.579	659
366.363	651
367.144	655
367.927	637
368.71	654
369.493	660.5
370.276	641.5
371.059	648.5
371.842	661.5
372.625	658.5
373.408	661
374.19	665
374.973	669.5
375.754	707.5
376.537	703
377.319	716
378.102	753.5
378.884	756.5
379.665	794
380.447	837
381.229	896
382.011	962
382.793	1015.5
383.574	1138.5
384.356	1224.5
385.138	1359
385.92	1512
386.7	1674
387.482	1825.5
388.263	1997.5
389.044	2058.5
389.825	2074
390.607	2011
391.387	1883.5
392.168	1702
392.949	1544.5
393.729	1383
394.511	1235
395.292	1128
396.071	1020.5
396.853	937
397.632	873.5
398.413	835
399.194	820.5
399.973	765.5
400.754	737
401.533	734.5
402.314	705.5
403.093	675.5
403.874	655
404.653	634
405.433	595
406.212	583.5
406.993	562.5
407.772	556.5
408.552	541.5
409.331	516
410.111	516.5
410.889	502
411.668	501.5
412.448	492.5
413.226	481
414.006	468.5
414.785	470.5
415.563	464.5
416.343	457.5
417.121	457
417.9	447
418.678	444
419.456	438.5
420.234	438
421.014	439
421.792	439
422.569	425
423.349	427
424.126	428
424.904	439.5
425.682	425
426.461	431.5
427.238	417.5
428.015	430
428.793	446
429.572	438.5
430.349	430
431.126	439
431.903	428.5
432.68	444.5
433.457	453.5
434.236	431
435.013	445.5
435.79	452
436.566	444.5
437.343	462.5
438.12	461
438.896	458.5
439.673	460.5
440.45	466
441.226	461.5
442.004	482
442.78	481
443.557	477.5
444.333	485
445.109	478.5
445.885	481.5
446.661	495.5
447.438	501
448.214	504
448.989	505
449.765	508
450.54	510.5
451.315	515
452.091	518
452.867	516.5
453.642	537
454.418	551.5
455.194	536
455.969	544.5
456.744	548.5
457.52	552
458.293	549
459.069	557.5
459.844	562.5
460.619	563.5
461.394	569.5
462.169	579
462.943	573
463.717	580.5
464.492	595
465.267	575.5
466.04	568
466.815	578.5
467.59	564
468.364	586
469.137	583.5
469.912	562.5
470.686	567
471.459	575.5
472.233	562.5
473.008	553
473.78	567
