Wavenumber	Intensity
457.52	669
458.293	666.5
459.069	677.5
459.844	649.5
460.619	686.5
461.394	682.5
462.169	665.5
462.943	675.5
463.717	683
464.492	680
465.267	676
466.04	680.5
466.815	691
467.59	666.5
468.364	685.5
469.137	677.5
469.912	668.5
470.686	673.5
471.459	678.5
472.233	670.5
473.008	672.5
473.78	665.5
474.555	664.5
475.329	672.5
476.101	651
476.875	650.5
477.649	638
478.422	654
479.195	655
479.968	661.5
480.741	652
481.514	654.5
482.287	637.5
483.061	630.5
483.833	627.5
484.606	633.5
485.378	620.5
486.151	621.5
486.923	617
487.696	623.5
488.468	625
489.241	626
490.013	614.5
490.786	615
491.557	622.5
492.329	603.5
493.102	598.5
493.873	634
494.646	611
495.417	601.5
496.188	607
496.961	601.5
497.732	602
498.503	607.5
499.275	592
500.046	607.5
500.817	595
501.589	599
502.36	595.5
503.13	577
503.902	618.5
504.673	578
505.444	564
506.214	585.5
506.986	570
507.756	573.5
508.526	572.5
509.297	583.5
510.068	576.5
510.839	594.5
511.609	582.5
512.379	592
513.149	589
513.919	598.5
514.69	597
515.46	608
516.229	609
516.999	615.5
517.769	594.5
518.538	603
519.308	596.5
520.077	612.5
520.848	598.5
521.618	610
522.387	602
523.156	620
523.925	601.5
524.695	629
525.464	608.5
526.233	613.5
527.002	609
527.771	611.5
528.54	606
529.308	596
530.077	599
530.846	590
531.615	614
532.382	611.5
533.15	590.5
533.919	607.5
534.687	610.5
535.456	582.5
536.224	603
536.992	578
537.761	569.5
538.527	594.5
539.296	590
540.064	579
540.832	600.5
541.6	589
542.368	564.5
543.134	574
543.902	572
544.67	592
545.437	583
546.204	577.5
546.971	566.5
547.739	579.5
548.506	568
549.272	568.5
550.04	573.5
550.807	557.5
551.573	566.5
552.34	556
553.107	559.5
553.873	565
554.64	560.5
555.407	570
556.172	539
556.939	567
557.706	542.5
558.472	543
559.238	562
560.004	535
560.77	534.5
561.535	538.5
562.302	531.5
563.068	540
563.833	546
564.6	523
565.365	551.5
566.131	526
566.896	517
567.662	530.5
568.426	520
569.192	515
569.957	519
570.721	508
571.487	521
572.252	506.5
573.018	506
573.782	512.5
574.546	517.5
575.312	512
576.076	512
576.841	499
577.605	513
578.369	507
579.135	490
579.898	501.5
580.662	498
581.427	503.5
582.191	486
582.955	490.5
583.718	500.5
584.483	494
585.247	493.5
586.01	493.5
586.774	480
587.538	488.5
588.302	486
589.065	486
589.828	476.5
590.591	493
591.356	494.5
592.119	478.5
592.882	484.5
593.645	486.5
594.407	484
595.17	490.5
595.933	491.5
596.697	474
597.46	488
598.222	477.5
598.985	473.5
599.747	490.5
600.51	480
601.272	493.5
602.034	498.5
602.797	499.5
603.559	473
604.321	490.5
605.083	489.5
605.845	472
606.607	489.5
607.369	493.5
608.131	495
608.893	488.5
609.655	501
610.416	492.5
611.178	511.5
611.94	497
612.7	500
613.461	487
614.223	504
614.984	497.5
615.745	496
616.507	493
617.268	500
618.029	506.5
618.789	488.5
619.55	514.5
620.311	503.5
621.072	507.5
621.833	510.5
622.592	504
623.353	498
624.114	506.5
624.875	508
625.634	512
626.395	511.5
627.155	516.5
627.914	513.5
628.675	501
629.435	507.5
630.194	519
630.954	521.5
631.715	512.5
632.473	534
633.233	515
633.994	516
634.752	521.5
635.512	535.5
636.271	519
637.03	513.5
637.79	535
638.549	522
639.308	528.5
640.067	537.5
640.826	531.5
641.584	537.5
642.344	536
643.102	530.5
643.861	558
644.619	539.5
645.378	547.5
646.136	555
646.895	557
647.653	552.5
648.412	550
649.17	554
649.927	564
650.686	560.5
651.444	558.5
652.203	566
652.96	555.5
653.717	578.5
654.476	569.5
655.233	583
655.99	580.5
656.749	575.5
657.506	593.5
658.263	568.5
659.021	591
659.778	597
660.535	593.5
661.291	589.5
662.049	601
662.806	592
663.563	600
664.319	607.5
665.077	595
665.834	620.5
666.59	613
667.346	600
668.103	614
668.86	601
669.616	601
670.373	611.5
671.129	617
671.885	617
672.641	608
673.397	605.5
674.152	632
674.908	616.5
675.665	610.5
676.421	617
677.177	628
677.932	628
678.688	629
679.443	623.5
680.199	636.5
680.954	639.5
681.71	637.5
682.465	634.5
683.22	640
683.975	630
684.73	636.5
685.485	646
686.241	630.5
686.994	626.5
687.749	644.5
688.504	640
689.259	620.5
690.013	621.5
690.768	619.5
691.523	634
692.277	628
693.03	624
693.785	618.5
694.539	629.5
695.294	619.5
696.048	608.5
696.802	606.5
697.555	599.5
698.309	603.5
699.064	596
699.818	587.5
700.57	578
701.324	587
702.078	580.5
702.832	570.5
703.584	560
704.338	554
705.092	537
705.844	557.5
706.598	545
707.351	550
708.103	538.5
708.857	535.5
709.61	542
710.362	528.5
711.116	529
711.867	530
712.621	506
713.372	504.5
714.125	487.5
714.878	483.5
715.63	477
716.383	478.5
717.134	471
717.887	488.5
718.639	477.5
719.391	479
720.143	466
720.895	460
721.646	462.5
722.399	453
723.15	463
723.901	441
724.653	450.5
725.404	448.5
726.156	462
726.907	464.5
727.658	427.5
728.41	442.5
729.161	443
729.911	437.5
730.663	439.5
731.414	430.5
732.164	432.5
732.916	445
733.666	433.5
734.416	434.5
735.168	426.5
735.918	430.5
736.668	432
737.418	438
738.17	442.5
738.92	449
739.67	441
740.419	435
741.171	444
741.92	430
742.67	451.5
743.42	433
744.169	425
744.919	435
745.668	453.5
746.419	436.5
747.169	431.5
747.918	431
748.667	437
749.416	420
750.166	420.5
750.915	426.5
751.664	419
752.413	433.5
753.162	428.5
753.911	413.5
754.66	423
755.408	422
756.157	416.5
756.906	404
757.655	411.5
758.403	416.5
759.152	406.5
759.9	403.5
760.649	407
761.397	400.5
762.145	405.5
762.894	396
763.642	403
764.39	398
765.137	399
765.885	385.5
766.633	375.5
767.381	380
768.129	373.5
768.877	387
769.623	373.5
770.371	389
771.119	376.5
771.866	373
772.614	375
773.36	374.5
774.108	347
774.855	367
775.603	348
776.349	359.5
777.096	348
777.843	351.5
778.589	342.5
779.336	344
780.083	340
780.829	334
781.576	346.5
782.323	350.5
783.068	337.5
783.815	335
784.562	338.5
785.307	328
786.054	323.5
786.799	314.5
787.546	318
788.291	328
789.038	313
789.783	317
790.529	314.5
791.275	317
792.02	323
792.766	299
793.511	311.5
794.256	308
795.002	301
795.747	307
796.493	299.5
797.237	302.5
797.983	290
798.727	299
799.472	305.5
800.218	304.5
800.962	316
801.707	287
802.452	307.5
803.196	293
803.941	296
804.685	289
805.429	290
806.174	293
806.918	292.5
807.662	296.5
808.406	288
809.151	287.5
809.895	280
810.638	284
811.383	294.5
812.127	285.5
812.87	290
813.613	291
814.357	285
815.102	286
815.845	276
816.588	270
817.331	272
818.074	285
818.817	283
819.56	282.5
820.305	287
821.047	273
821.79	290.5
822.533	282.5
823.276	275.5
824.018	280
824.761	281.5
825.504	283.5
826.246	273
826.989	277
827.731	289
828.473	273.5
829.216	275.5
829.958	286.5
830.7	278
831.442	279
832.185	279
832.927	273
833.669	277
834.411	281
835.152	273
835.893	275
836.635	271.5
837.376	270.5
838.118	268.5
838.86	269
839.602	274.5
840.343	271
841.083	281
841.825	276
842.566	284.5
843.307	268
844.049	276.5
844.788	282
845.53	282.5
846.271	267
847.012	290.5
847.752	284
848.493	271
849.234	278.5
849.974	281.5
850.714	279.5
851.455	285.5
852.195	280
852.935	288
853.675	281
854.416	272
855.155	277.5
855.896	287.5
856.635	277.5
857.375	299
858.115	293.5
858.854	281
859.594	270
860.333	272
861.073	287
861.812	289
862.552	278
863.291	276.5
864.031	268
864.769	293.5
865.509	277.5
866.247	286
866.987	279.5
867.725	274
868.465	277.5
869.203	275
869.941	284
870.681	277.5
871.419	274
872.158	285
872.896	278
873.634	270.5
874.373	285.5
875.111	271.5
875.849	278
876.588	271.5
877.325	270.5
878.063	276
878.802	276.5
879.539	273.5
880.277	286
881.014	258
881.753	282
882.49	274
883.227	273
883.964	277
884.703	272
885.44	273.5
886.177	280.5
886.914	270.5
