triangle_id,A_id,B_id,C_id,scale_factors1_x,scale_factors1_y,scale_factors1_z,A_transformed_x,A_transformed_y,A_transformed_z,B_transformed_x,B_transformed_y,B_transformed_z,C_transformed_x,C_transformed_y,C_transformed_z,ABC_new_A,ABC_new_B,ABC_new_C,ABC_new_D,ABC_new_E,ABC_new_F,ABC_new_G,ABC_new_H,ABC_new_I,ABC_new_J,Ax,Ay,Az,Bx,By,Bz,Cx,Cy,Cz,ABC_A,ABC_B,ABC_C,ABC_D,ABC_E,ABC_F,ABC_G,ABC_H,ABC_I,ABC_J
0,2,6,10,1.5,1,0.8,-0.525731112119,-0.850650808352,0,0,-0.525731112119,-0.850650808352,-0.850650808352,0,-0.525731112119,1,1,1,0,0,0,0,0,0,-1,-0.788596668179,-0.850650808352,0,0,-0.525731112119,-0.680520646682,-1.27597621253,0,-0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
1,6,7,10,1.5,1,0.8,0,-0.525731112119,-0.850650808352,0,0.525731112119,-0.850650808352,-0.850650808352,0,-0.525731112119,1,1,1,0,0,0,0,0,0,-1,0,-0.525731112119,-0.680520646682,0,0.525731112119,-0.680520646682,-1.27597621253,0,-0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
2,4,5,9,1.5,1,0.8,0,-0.525731112119,0.850650808352,0,0.525731112119,0.850650808352,0.850650808352,0,0.525731112119,1,1,1,0,0,0,0,0,0,-1,0,-0.525731112119,0.680520646682,0,0.525731112119,0.680520646682,1.27597621253,0,0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
3,1,5,9,1.5,1,0.8,0.525731112119,0.850650808352,0,0,0.525731112119,0.850650808352,0.850650808352,0,0.525731112119,1,1,1,0,0,0,0,0,0,-1,0.788596668179,0.850650808352,0,0,0.525731112119,0.680520646682,1.27597621253,0,0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
4,2,4,11,1.5,1,0.8,-0.525731112119,-0.850650808352,0,0,-0.525731112119,0.850650808352,-0.850650808352,0,0.525731112119,1,1,1,0,0,0,0,0,0,-1,-0.788596668179,-0.850650808352,0,0,-0.525731112119,0.680520646682,-1.27597621253,0,0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
5,4,5,11,1.5,1,0.8,0,-0.525731112119,0.850650808352,0,0.525731112119,0.850650808352,-0.850650808352,0,0.525731112119,1,1,1,0,0,0,0,0,0,-1,0,-0.525731112119,0.680520646682,0,0.525731112119,0.680520646682,-1.27597621253,0,0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
6,6,7,8,1.5,1,0.8,0,-0.525731112119,-0.850650808352,0,0.525731112119,-0.850650808352,0.850650808352,0,-0.525731112119,1,1,1,0,0,0,0,0,0,-1,0,-0.525731112119,-0.680520646682,0,0.525731112119,-0.680520646682,1.27597621253,0,-0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
7,3,6,8,1.5,1,0.8,0.525731112119,-0.850650808352,0,0,-0.525731112119,-0.850650808352,0.850650808352,0,-0.525731112119,1,1,1,0,0,0,0,0,0,-1,0.788596668179,-0.850650808352,0,0,-0.525731112119,-0.680520646682,1.27597621253,0,-0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
8,0,5,11,1.5,1,0.8,-0.525731112119,0.850650808352,0,0,0.525731112119,0.850650808352,-0.850650808352,0,0.525731112119,1,1,1,0,0,0,0,0,0,-1,-0.788596668179,0.850650808352,0,0,0.525731112119,0.680520646682,-1.27597621253,0,0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
9,3,4,9,1.5,1,0.8,0.525731112119,-0.850650808352,0,0,-0.525731112119,0.850650808352,0.850650808352,0,0.525731112119,1,1,1,0,0,0,0,0,0,-1,0.788596668179,-0.850650808352,0,0,-0.525731112119,0.680520646682,1.27597621253,0,0.420584889695,0.444444444444,1,1.5625,0,0,0,0,0,0,-1
